ID_Empresa,Nombre_Empresa
1,Empresa Confidencial
2,NFON
3,DARK MATTER gGmbH
4,jemix GmbH
5,Codemeta GmbH
6,Speechify
7,Soley GmbH
8,deepeye Medical GmbH
9,Recare Deutschland GmbH
10,Nooxit GmbH
11,Haeger Consulting GmbH
12,Auralis Group
13,Wavestone Germany AG
14,FlexIT Consulting GmbH
15,DWWA Personalberatung GmbH
16,321 MED GmbH
17,datin GmbH
18,Heidi Systems
19,Lumiform
20,Memodo
21,K-tronik GmbH
22,idealo internet GmbH
23,ELMI Power GmbH
24,PRIME HR Agentur®
25,explaino
26,IQ Solutions
27,STABL Energy
28,Unigy GmbH
29,FAKT GmbH
30,Rockstardevelopers GmbH
31,Muxon
32,Atmen Solutions GmbH
33,Leadvise Reply GmbH
34,Distribusion Technologies
35,ASTRUM IT GmbH
36,Datavent
37,beatvest
38,Hallo Welt! GmbH
39,bits&birds GmbH
40,NOXON
41,Orbit
42,CPU Consulting & Software GmbH
43,Sayano Deutschland GmbH
44,sera Gruppe
45,Dellner Bubenzer
46,Envidual
47,Finanzchef24 GmbH
48,Prokuras Beteiligungs GmbH
49,Retorio GmbH
50,PartSpace GmbH
51,IBA Dosimetry GmbH
52,MY Humancapital GmbH
53,eleQtron GmbH
54,SumUp
55,Onapsis
56,Pentadoc Gruppe
57,Flix
58,Wolt - English
59,Qentin
60,Persohap GmbH
61,Lyto Brands Group
62,myProtectify
63,TechBiz Global GmbH
64,cigus GmbH
65,VOIDS Technology GmbH
66,Reos GmbH
67,TecFox GmbH
68,Banco General
69,Cable & Wireless
70,Telered
71,PwC Panamá
72,Encuentra24 PA
73,Dell Technologies Panamá
74,Global Bank
75,Multibank
76,Banistmo
77,Autoridad del Canal de Panamá (ACP)
78,KPMG Panamá
79,GBM Panamá
80,Caja de Seguro Social
81,Tigo Panamá
82,Sonda Panamá
83,EY Panamá
84,Copa Airlines
