habilidad,pendiente,intercepto,r2,porcentaje_actual,porcentaje_predicho_futuro,tendencia,granularidad,n_periodos
.NET,0.5667529585798815,0.29031065088757524,0.1541,1.5625,7.091346153846153,No confiable / Pocos datos,quincenal,12
Java,0.5541453738569121,-0.541789940828401,0.2662,4.6875,6.107954545454543,Emergente / Crecimiento Rápido,quincenal,12
C#,0.5484126309211148,1.4573000058011383,0.0818,0.78125,8.038251576854517,No confiable / Pocos datos,quincenal,12
TypeScript,0.5355510966306419,1.444857226107227,0.0661,2.34375,7.87147038567493,No confiable / Pocos datos,quincenal,12
Kubernetes,0.43763921958337837,2.586221753359763,0.0532,1.5625,7.837892388360303,No confiable / Pocos datos,quincenal,12
Terraform,0.38167593709937386,4.067502931332118,0.0912,2.34375,8.647614176524606,No confiable / Pocos datos,quincenal,12
Angular,0.2731073281065567,5.112759051531676,0.0141,0.78125,8.390046988810356,No confiable / Pocos datos,quincenal,12
HTML,0.27006749934557417,4.388626079802551,0.0109,0.0,7.62943607194944,No confiable / Pocos datos,quincenal,12
Softwareentwicklung,0.24038461538461536,-0.8012820512820512,0.2308,6.25,2.083333333333333,Crecimiento Estable,quincenal,12
CSS,0.23681246637977402,4.732186883629192,0.0057,0.78125,7.57393648018648,No confiable / Pocos datos,quincenal,12
AI,0.1802884615384615,-0.6009615384615383,0.2308,4.6875,1.5625,Crecimiento Estable,quincenal,12
DevOps,0.15024038461538458,-0.5008012820512819,0.2308,3.90625,1.302083333333333,Crecimiento Estable,quincenal,12
Machine Learning,0.15024038461538458,-0.5008012820512819,0.2308,3.90625,1.302083333333333,Crecimiento Estable,quincenal,12
Power BI,0.12882673210856055,4.164753437236469,0.0063,0.78125,5.710674222539196,No confiable / Pocos datos,quincenal,12
React,0.08392021902408578,9.768818097438007,0.0007,3.125,10.775860725727037,No confiable / Pocos datos,quincenal,12
Node.js,-0.022176635581612824,7.543829662042332,0.0001,3.125,7.277710035062978,No confiable / Pocos datos,quincenal,12
Cisco,-0.03537946610499054,10.89367096578635,0.0003,1.5625,10.469117372526464,No confiable / Pocos datos,quincenal,12
Kotlin,-0.09014281815469598,5.293571200669617,0.0029,0.78125,4.211857382813266,No confiable / Pocos datos,quincenal,12
Docker,-0.14320001008863625,16.030474521707557,0.0033,4.6875,14.312074400643922,No confiable / Pocos datos,quincenal,12
Vue,-0.17936720142602505,6.511437908496733,0.0058,0.0,4.359031491384432,No confiable / Pocos datos,quincenal,12
Python,-0.1833649433659719,21.132742634439467,0.0018,3.125,18.932363314047805,No confiable / Pocos datos,quincenal,12
Scrum,-0.286780912423652,10.171106231626593,0.0252,3.125,6.729735282542769,No confiable / Pocos datos,quincenal,12
Azure,-0.30808773060547007,9.18152289829326,0.0261,2.34375,5.484470131027619,No confiable / Pocos datos,quincenal,12
Spark,-0.354964637635092,5.1708187645687635,0.0709,0.78125,0.9112431129476599,No confiable / Pocos datos,quincenal,12
Agile,-0.371868100876225,9.277574015978992,0.0397,1.5625,4.815156805464292,No confiable / Pocos datos,quincenal,12
Swift,-0.39996391240735113,7.19015022182443,0.0512,0.0,2.390583272936216,No confiable / Pocos datos,quincenal,12
AWS,-0.4107427820020372,13.112495065266558,0.0379,4.6875,8.183581681242112,No confiable / Pocos datos,quincenal,12
Jira,-0.4483623016055657,20.235450274336024,0.0248,3.90625,14.855102655069235,No confiable / Pocos datos,quincenal,12
R,-0.5444659357336752,9.136116915387277,0.2431,0.78125,2.6025256865831743,En Declive,quincenal,12
React Native,-0.545200377573886,9.635568051857643,0.0563,0.0,3.093163520971011,No confiable / Pocos datos,quincenal,12
Windows Server,-0.6757818444752831,15.474261943436149,0.0476,1.5625,7.364879809732752,No confiable / Pocos datos,quincenal,12
Tableau,-0.7598566056697995,12.229135008405372,0.2152,0.78125,3.1108557403677786,En Declive,quincenal,12
Flutter,-0.8017567218706146,10.57983345525766,0.1915,0.78125,0.9587527928102837,No confiable / Pocos datos,quincenal,12
JavaScript,-0.8684504062884867,25.80145792179163,0.0674,3.90625,15.38005304632979,No confiable / Pocos datos,quincenal,12
PostgreSQL,-0.9017208602962921,17.806986643949312,0.1239,0.78125,6.986336320393807,No confiable / Pocos datos,quincenal,12
Linux,-1.043207775615992,25.245439656497346,0.0702,3.90625,12.726946349105441,No confiable / Pocos datos,quincenal,12
Git,-1.4364078862999057,36.06049713232971,0.1293,3.125,18.82360249673084,No confiable / Pocos datos,quincenal,12
Excel,-1.747387998673477,33.16730403834475,0.267,6.25,12.198648054263028,En Declive,quincenal,12
SQL,-1.8883526211721902,21.706351796142513,0.5286,3.90625,0.0,En Declive,quincenal,12
