id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,es_simulado,habilidades
1,Tecnico Electrico,Técnico Eléctrico,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,"Waymore Hotel, Spa & Casino",0,
2,Técnico de Mantenimiento,Técnico de Mantenimiento,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Importante empresa del sector Inmobiliario,0,
3,Auditor de IT,Auditor de IT,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Empresa Internacional de Servicios Contables,0,
4,Técnico electricista,Técnico electricista,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,OCA GLOBAL PANAMÁ,0,
5,Técnico de refrigeración y A/A,Técnico de refrigeración y A/A,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Tova S.A.,0,"mantenimiento de refrigeración,instalación de aire acondicionado,reparación de sistemas HVAC"
6,Asesor de Soporte Técnico (Aditivos Químicos),Asesor de Soporte Técnico,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,CEMEX PANAMÁ,0,"aditivos químicos,soporte técnico,gestión de productos químicos"
7,Técnico de Reefer,Técnico de Reefer,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Rh Vital,0,"mantenimiento de refrigeración,sistemas de refrigeración de contenedores"
8,"Tecnico instalador para redes, wifi, camaras de seguridad, sonido","Técnico instalador de redes, wifi, cámaras de seguridad y sonido",Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Telecommunication and Networking,0,"redes,wifi,cámaras de seguridad,sistemas de sonido"
9,Técnico Senior de Mantenimiento HVAC,Técnico Senior de Mantenimiento HVAC,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,"MTS ADMINISTRACIÓN TOTAL, S.A.",0,"Mantenimiento HVAC,Sistemas de climatización,Diagnóstico de equipos"
10,Soporte técnico,Soporte técnico,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Importante empresa del sector,0,
11,Técnico Electromecánico,Técnico Electromecánico,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Rh Vital,0,
12,Técnico de mantenimiento industrial,Técnico de mantenimiento industrial,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,AGENCIAS MOTTA S.A,0,
13,Técnico de Mantenimiento,Técnico de Mantenimiento,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,"Hacienda El Progreso, S.A.",0,
14,Perforador Horizontal dirigido (PHD).,Perforador Horizontal dirigido,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Telecomunication Strategy Corp.,0,
15,Operador de Extracavadora,Operador de Excavadora,Empresa Confidencial,Computrabajo,2026-07-12,,,,Soporte & IT,Telecomunication Strategy Corp.,0,"manejo de maquinaria pesada,excavación"
16,DevOps Softwareentwickler/in mit Karriereambitionen - jetzt mit uns voll durchstarten!,DevOps Softwareentwickler,Auralis Group,Arbeitnow API,2026-07-10,,,4.0,DevOps & Cloud,"Wir sind ein fast zwei Jahre altes IT Unternehmen, aktuell 50 MA, und suchen nun weiterhin Verstärkung, um Cloud-Projekte bei unseren Kunden durchzuführen. Aufgaben Du willst: Deine Arbeitszeiten selbst bestimmen? von zuhause aus arbeiten (remote)? den nächsten Schritt in Deiner Karriere gehen und lernen, wie man Teams leitet und ein Unternehmen führt? einen Arbeitgeber, der Dich leistungs- und ergebnisorientiert bezahlt? Qualifikation Du: bist seit 4 Jahren in Vollzeit berufstätig im Bereich Softwareentwicklung/DevOps und hast große Teile Deiner Erfahrung in Cloud-Infrastrukturen und Deployme",0,"Softwareentwicklung,DevOps,Cloud-Infrastrukturen,Deployment"
